Month,Day,Hour,GHI
11,8,21,0
11,8,22,0
11,8,23,0
11,9,0,0
11,9,1,0
11,9,2,0
11,9,3,0
11,9,4,0
11,9,5,0
11,9,6,0
11,9,7,0
11,9,8,138
11,9,9,332
11,9,10,498
11,9,11,614
11,9,12,667
11,9,13,653
11,9,14,573
11,9,15,437
11,9,16,259
11,9,17,79
11,9,18,0
11,9,19,0
11,9,20,0
11,9,21,0
11,9,22,0
11,9,23,0
11,10,0,0
11,10,1,0
11,10,2,0
11,10,3,0
11,10,4,0
11,10,5,0
11,10,6,0
11,10,7,0
11,10,8,132
11,10,9,321
11,10,10,483
11,10,11,598
11,10,12,651
11,10,13,638
11,10,14,560
11,10,15,427
11,10,16,252
11,10,17,76
11,10,18,0
11,10,19,0
11,10,20,0
11,10,21,0
11,10,22,0
11,10,23,0
11,11,0,0
11,11,1,0
11,11,2,0
11,11,3,0
11,11,4,0
11,11,5,0
11,11,6,0
11,11,7,0
11,11,8,128
11,11,9,315
11,11,10,391
11,11,11,482
11,11,12,241
11,11,13,311
11,11,14,310
11,11,15,280
11,11,16,242
11,11,17,71
11,11,18,0
11,11,19,0
11,11,20,0
11,11,21,0
11,11,22,0
11,11,23,0
11,12,0,0
11,12,1,0
11,12,2,0
11,12,3,0
11,12,4,0
11,12,5,0
11,12,6,0
11,12,7,0
11,12,8,66
11,12,9,178
11,12,10,226
11,12,11,219
11,12,12,318
11,12,13,263
11,12,14,236
11,12,15,158
11,12,16,71
11,12,17,29
11,12,18,0
11,12,19,0
11,12,20,0
11,12,21,0
11,12,22,0
11,12,23,0
11,13,0,0
11,13,1,0
11,13,2,0
11,13,3,0
11,13,4,0
11,13,5,0
11,13,6,0
11,13,7,0
11,13,8,124
11,13,9,318
11,13,10,321
11,13,11,336
11,13,12,660
11,13,13,646
11,13,14,567
11,13,15,430
11,13,16,252
11,13,17,75
11,13,18,0
11,13,19,0
11,13,20,0
11,13,21,0
11,13,22,0
11,13,23,0
11,14,0,0
11,14,1,0
11,14,2,0
11,14,3,0
11,14,4,0
11,14,5,0
11,14,6,0
11,14,7,0
11,14,8,83
11,14,9,208
11,14,10,321
11,14,11,453
11,14,12,409
11,14,13,384
11,14,14,222
11,14,15,196
11,14,16,85
11,14,17,15
11,14,18,0
11,14,19,0
11,14,20,0
11,14,21,0
11,14,22,0
11,14,23,0
11,15,0,0
11,15,1,0
11,15,2,0
11,15,3,0
11,15,4,0
11,15,5,0
11,15,6,0
11,15,7,0
11,15,8,113
11,15,9,86
11,15,10,137
11,15,11,186
11,15,12,291
11,15,13,291
11,15,14,371
11,15,15,409
11,15,16,237
11,15,17,69
11,15,18,0
11,15,19,0
11,15,20,0
11,15,21,0
11,15,22,0
11,15,23,0
11,16,0,0
11,16,1,0
11,16,2,0
11,16,3,0
11,16,4,0
11,16,5,0
11,16,6,0
11,16,7,0
11,16,8,113
11,16,9,300
11,16,10,464
11,16,11,580
11,16,12,635
11,16,13,624
11,16,14,548
11,16,15,355
11,16,16,242
11,16,17,70
11,16,18,0
11,16,19,0
11,16,20,0
11,16,21,0
11,16,22,0
11,16,23,0
11,17,0,0
11,17,1,0
11,17,2,0
11,17,3,0
11,17,4,0
11,17,5,0
11,17,6,0
11,17,7,0
11,17,8,114
11,17,9,306
11,17,10,471
11,17,11,587
11,17,12,641
11,17,13,628
11,17,14,550
11,17,15,416
11,17,16,241
11,17,17,70
11,17,18,0
11,17,19,0
11,17,20,0
11,17,21,0
11,17,22,0
11,17,23,0
11,18,0,0
11,18,1,0
11,18,2,0
11,18,3,0
11,18,4,0
11,18,5,0
11,18,6,0
11,18,7,0
11,18,8,106
11,18,9,291
11,18,10,453
11,18,11,567
11,18,12,621
11,18,13,284
11,18,14,533
11,18,15,402
11,18,16,232
11,18,17,67
11,18,18,0
11,18,19,0
11,18,20,0
11,18,21,0
11,18,22,0
11,18,23,0
11,19,0,0
11,19,1,0
11,19,2,0
11,19,3,0
11,19,4,0
11,19,5,0
11,19,6,0
11,19,7,0
11,19,8,9
11,19,9,73
11,19,10,211
11,19,11,247
11,19,12,357
11,19,13,411
11,19,14,329
11,19,15,303
11,19,16,164
11,19,17,47
11,19,18,0
11,19,19,0
11,19,20,0
11,19,21,0
11,19,22,0
11,19,23,0
11,20,0,0
11,20,1,0
11,20,2,0
11,20,3,0
11,20,4,0
11,20,5,0
11,20,6,0
11,20,7,0
11,20,8,96
11,20,9,159
11,20,10,433
11,20,11,545
11,20,12,600
11,20,13,591
11,20,14,519
11,20,15,391
11,20,16,224
11,20,17,65
11,20,18,0
11,20,19,0
11,20,20,0
11,20,21,0
11,20,22,0
11,20,23,0
11,21,0,0
11,21,1,0
11,21,2,0
11,21,3,0
11,21,4,0
11,21,5,0
11,21,6,0
11,21,7,0
11,21,8,95
11,21,9,274
11,21,10,432
11,21,11,545
11,21,12,600
11,21,13,591
11,21,14,519
11,21,15,391
11,21,16,224
11,21,17,65
11,21,18,0
11,21,19,0
11,21,20,0
11,21,21,0
11,21,22,0
11,21,23,0
11,22,0,0
11,22,1,0
11,22,2,0
11,22,3,0
11,22,4,0
11,22,5,0
11,22,6,0
11,22,7,0
11,22,8,95
11,22,9,279
11,22,10,442
11,22,11,559
11,22,12,615
11,22,13,605
11,22,14,531
11,22,15,401
11,22,16,230
11,22,17,68
11,22,18,0
11,22,19,0
11,22,20,0
11,22,21,0
11,22,22,0
11,22,23,0
11,23,0,0
11,23,1,0
11,23,2,0
11,23,3,0
11,23,4,0
11,23,5,0
11,23,6,0
11,23,7,0
11,23,8,39
11,23,9,278
11,23,10,382
11,23,11,555
11,23,12,234
11,23,13,597
11,23,14,521
11,23,15,320
11,23,16,141
11,23,17,41
11,23,18,0
11,23,19,0
11,23,20,0
11,23,21,0
11,23,22,0
11,23,23,0
11,24,0,0
11,24,1,0
11,24,2,0
11,24,3,0
11,24,4,0
11,24,5,0
11,24,6,0
11,24,7,0
11,24,8,94
11,24,9,283
11,24,10,449
11,24,11,567
11,24,12,624
11,24,13,614
11,24,14,540
11,24,15,408
11,24,16,182
11,24,17,72
11,24,18,0
11,24,19,0
11,24,20,0
11,24,21,0
11,24,22,0
11,24,23,0
11,25,0,0
11,25,1,0
11,25,2,0
11,25,3,0
11,25,4,0
11,25,5,0
11,25,6,0
11,25,7,0
11,25,8,89
11,25,9,273
11,25,10,438
11,25,11,556
11,25,12,613
11,25,13,605
11,25,14,532
11,25,15,403
11,25,16,232
11,25,17,72
11,25,18,0
11,25,19,0
11,25,20,0
11,25,21,0
11,25,22,0
11,25,23,0
11,26,0,0
11,26,1,0
11,26,2,0
11,26,3,0
11,26,4,0
11,26,5,0
11,26,6,0
11,26,7,0
11,26,8,86
11,26,9,270
11,26,10,432
11,26,11,548
11,26,12,603
11,26,13,594
11,26,14,521
11,26,15,392
11,26,16,224
11,26,17,68
11,26,18,0
11,26,19,0
11,26,20,0
11,26,21,0
11,26,22,0
11,26,23,0
11,27,0,0
11,27,1,0
11,27,2,0
11,27,3,0
11,27,4,0
11,27,5,0
11,27,6,0
11,27,7,0
11,27,8,30
11,27,9,21
11,27,10,67
11,27,11,108
11,27,12,125
11,27,13,191
11,27,14,161
11,27,15,75
11,27,16,60
11,27,17,18
11,27,18,0
11,27,19,0
11,27,20,0
11,27,21,0
11,27,22,0
11,27,23,0
11,28,0,0
11,28,1,0
11,28,2,0
11,28,3,0
11,28,4,0
11,28,5,0
11,28,6,0
11,28,7,0
11,28,8,80
11,28,9,262
11,28,10,425
11,28,11,542
11,28,12,599
11,28,13,591
11,28,14,519
11,28,15,392
11,28,16,224
11,28,17,70
11,28,18,0
11,28,19,0
11,28,20,0
11,28,21,0
11,28,22,0
11,28,23,0
11,29,0,0
11,29,1,0
11,29,2,0
11,29,3,0
11,29,4,0
11,29,5,0
11,29,6,0
11,29,7,0
11,29,8,76
11,29,9,254
11,29,10,416
11,29,11,532
11,29,12,590
11,29,13,584
11,29,14,514
11,29,15,389
11,29,16,223
11,29,17,71
11,29,18,0
11,29,19,0
11,29,20,0
11,29,21,0
11,29,22,0
11,29,23,0
11,30,0,0
11,30,1,0
11,30,2,0
11,30,3,0
11,30,4,0
11,30,5,0
11,30,6,0
11,30,7,0
11,30,8,72
11,30,9,144
11,30,10,236
11,30,11,391
11,30,12,576
11,30,13,569
11,30,14,176
11,30,15,158
11,30,16,74
11,30,17,23
11,30,18,0
11,30,19,0
11,30,20,0
11,30,21,0
11,30,22,0
11,30,23,0
